,PLAYER,POS,AVG
0,Christian McCaffrey,RB,1.0
1,Dalvin Cook,RB,2.0
2,Alvin Kamara,RB,3.4
3,Derrick Henry,RB,3.6
4,Saquon Barkley,RB,5.8
5,Jonathan Taylor,RB,7.4
6,Ezekiel Elliott,RB,7.6
7,Travis Kelce,TE,7.8
8,Nick Chubb,RB,9.0
9,Tyreek Hill,WR,9.4
10,Austin Ekeler,RB,11.0
11,Davante Adams,WR,11.2
12,Aaron Jones,RB,12.8
13,Stefon Diggs,WR,13.2
14,Najee Harris,RB,16.4
15,DeAndre Hopkins,WR,16.6
16,Antonio Gibson,RB,18.2
17,D.K. Metcalf,WR,19.4
18,Calvin Ridley,WR,20.0
19,Joe Mixon,RB,20.6
20,Patrick Mahomes II,QB,21.2
21,Justin Jefferson,WR,22.0
22,A.J. Brown,WR,22.4
23,Darren Waller,TE,22.6
24,Clyde Edwards-Helaire,RB,23.8
25,George Kittle,TE,25.0
26,D'Andre Swift,RB,29.0
27,Keenan Allen,WR,30.0
28,J.K. Dobbins,RB,30.6
29,Terry McLaurin,WR,31.6
30,David Montgomery,RB,32.6
31,Allen Robinson II,WR,32.6
32,Josh Allen,QB,33.0
33,Miles Sanders,RB,34.0
34,Chris Carson,RB,36.0
35,Josh Jacobs,RB,37.4
36,CeeDee Lamb,WR,38.4
37,Mike Evans,WR,38.8
38,Julio Jones,WR,39.2
39,Michael Thomas,WR,40.2
40,Amari Cooper,WR,41.4
41,Robert Woods,WR,42.6
42,Kyler Murray,QB,42.8
43,Chris Godwin,WR,45.2
44,Lamar Jackson,QB,47.0
45,Kyle Pitts,TE,47.4
46,Myles Gaskin,RB,48.8
47,Mark Andrews,TE,50.2
48,Dak Prescott,QB,50.4
49,Adam Thielen,WR,51.0
50,Kareem Hunt,RB,53.4
51,Diontae Johnson,WR,53.6
52,Mike Davis,RB,54.0
53,Cooper Kupp,WR,54.0
54,Tyler Lockett,WR,54.8
55,D.J. Moore,WR,58.6
56,T.J. Hockenson,TE,58.6
107,Travis Etienne,RB,58.8
57,James Robinson,RB,60.6
58,Justin Herbert,QB,60.8
59,Russell Wilson,QB,62.6
60,Kenny Golladay,WR,62.8
61,Brandon Aiyuk,WR,63.8
62,Ja'Marr Chase,WR,64.2
63,Javonte Williams,RB,69.8
64,Chase Edmonds,RB,70.2
65,Odell Beckham Jr.,WR,70.2
66,Aaron Rodgers,QB,70.8
67,Chase Claypool,WR,72.4
68,Tee Higgins,WR,75.2
69,JuJu Smith-Schuster,WR,76.2
70,Tom Brady,QB,76.8
71,Raheem Mostert,RB,77.6
72,DeVonta Smith,WR,78.0
73,Courtland Sutton,WR,78.8
74,Dallas Goedert,TE,79.4
75,Melvin Gordon III,RB,82.4
76,D.J. Chark Jr.,WR,85.4
77,Noah Fant,TE,85.8
78,Darrell Henderson,RB,86.2
79,Leonard Fournette,RB,87.2
80,David Johnson,RB,88.6
81,Robby Anderson,WR,89.8
82,Matthew Stafford,QB,90.6
83,Michael Carter,RB,90.6
84,Logan Thomas,TE,93.0
85,Brandin Cooks,WR,94.0
86,Will Fuller V,WR,95.2
87,Jerry Jeudy,WR,96.0
88,Ryan Tannehill,QB,97.8
89,Ronald Jones II,RB,98.0
90,Tyler Boyd,WR,98.6
91,Deebo Samuel,WR,98.6
92,Pittsburgh Steelers,DS,99.6
93,Jalen Hurts,QB,99.8
94,Damien Harris,RB,100.0
95,Zack Moss,RB,100.6
96,Joe Burrow,QB,100.6
97,James Conner,RB,103.0
98,Kenyan Drake,RB,103.4
99,Trey Sermon,RB,104.2
100,Curtis Samuel,WR,104.8
101,Los Angeles Rams,DS,106.2
102,Antonio Brown,WR,108.2
103,Michael Pittman Jr.,WR,108.4
104,Jarvis Landry,WR,108.8
105,Robert Tonyan,TE,111.0
106,Marquise Brown,WR,112.0
109,AJ Dillon,RB,112.6
108,Tampa Bay Buccaneers,DS,112.6
110,Jaylen Waddle,WR,114.8
111,Baltimore Ravens,DS,117.2
112,Laviska Shenault Jr.,WR,117.6
113,Washington Football Team,DS,119.6
114,Michael Gallup,WR,122.8
115,Nyheim Hines,RB,124.6
116,Hunter Henry,TE,124.8
117,Irv Smith Jr.,TE,125.0
118,Devin Singletary,RB,125.4
119,Rob Gronkowski,TE,126.8
120,Justin Tucker,K1,127.2
121,Gus Edwards,RB,127.4
122,Mike Gesicki,TE,127.8
123,Tony Pollard,RB,128.2
124,Matt Ryan,QB,129.2
125,Indianapolis Colts,DS,129.6
126,Jamaal Williams,RB,129.8
127,Trevor Lawrence,QB,130.2
128,Evan Engram,TE,130.4
129,Harrison Butker,K2,133.6
130,Henry Ruggs III,WR,133.6
131,Younghoe Koo,K3,135.0
132,T.Y. Hilton,WR,136.2
133,Darnell Mooney,WR,136.6
134,Jonnu Smith,TE,136.8
135,J.D. McKissic,RB,137.2
136,Mike Williams,WR,138.0
137,DeVante Parker,WR,139.0
138,Marvin Jones Jr.,WR,141.6
139,San Francisco 49ers,DS,141.8
140,Tyler Higbee,TE,142.2
141,Cole Beasley,WR,143.0
142,Alexander Mattison,RB,143.2
143,Baker Mayfield,QB,143.6
144,Corey Davis,WR,144.0
145,Buffalo Bills,DS,145.0
146,Mecole Hardman,WR,148.8
147,Kirk Cousins,QB,150.6
148,Latavius Murray,RB,151.0
149,Jason Sanders,K4,154.8
150,Tarik Cohen,RB,155.0
151,Rodrigo Blankenship,K5,159.6
152,Carson Wentz,QB,160.2
153,Deshaun Watson,QB,161.0
154,Tyler Bass,K6,161.6
155,Justin Fields,QB,161.6
156,Miami Dolphins,DS,161.8
180,Kenneth Gainwell,RB,163.8
157,Russell Gage,WR,164.2
274,Giovanni Ricci,TE,166.0
158,Zach Ertz,TE,166.4
183,Rashaad Penny,RB,167.8
159,Tevin Coleman,RB,168.6
160,Phillip Lindsay,RB,169.0
161,Tua Tagovailoa,QB,170.0
162,Elijah Moore,WR,170.8
163,Trey Lance,QB,171.6
164,Greg Zuerlein,K7,172.2
165,Ben Roethlisberger,QB,173.2
166,James White,RB,173.4
167,New England Patriots,DS,176.8
168,Ryan Fitzpatrick,QB,177.2
190,Austin Hooper,TE,178.8
169,Jared Cook,TE,179.2
281,Jordan Akins,TE,180.0
171,Derek Carr,QB,180.8
170,Daniel Carlson,K8,180.8
172,Giovani Bernard,RB,181.6
192,New Orleans Saints,DS,182.3
173,Jalen Reagor,WR,182.6
174,Rashod Bateman,WR,183.4
175,Nelson Agholor,WR,184.4
176,Adam Trautman,TE,184.8
196,Gabriel Davis,WR,185.3
197,Daniel Jones,QB,186.3
220,Xavier Jones,RB,186.7
198,Sterling Shepard,WR,187.3
223,Brandon McManus,K1,189.3
199,John Brown,WR,189.3
224,Christian Kirk,WR,189.7
177,Wil Lutz,K9,191.4
202,Marlon Mack,RB,191.8
203,Amon-Ra St. Brown,WR,192.3
178,Cleveland Browns,DS,192.4
245,Denzel Mims,WR,193.0
179,Chuba Hubbard,RB,194.8
204,Cole Kmet,TE,195.5
181,Gerald Everett,TE,196.6
182,Ryan Succop,K1,197.6
296,Austin Seibert,K2,198.0
207,Damien Williams,RB,198.3
210,Eric Ebron,TE,198.8
297,Sam Ficken,K2,202.0
184,Jamison Crowder,WR,202.8
250,Rondale Moore,WR,204.5
231,Javian Hawkins,RB,204.7
233,Sam Darnold,QB,205.3
234,Salvon Ahmed,RB,206.0
299,Cordarrelle Patterson,WR,206.0
185,Taysom Hill,QB,206.6
186,Anthony Firkser,TE,207.0
187,Zach Wilson,QB,207.2
188,Blake Jarwin,TE,207.6
189,Emmanuel Sanders,WR,207.8
235,Darrynton Evans,RB,208.7
301,Pooka Williams Jr.,RB,209.0
191,Denver Broncos,DS,209.2
302,Demetric Felton,WR,210.0
193,Kansas City Chiefs,DS,211.2
213,Allen Lazard,WR,211.5
214,Kadarius Toney,WR,212.8
194,A.J. Green,WR,213.0
236,Tim Tebow,TE,213.7
216,Green Bay Packers,DS,214.8
217,Todd,RB,215.0
218,Cam Newton,QB,216.3
195,Jason Myers,K1,216.4
200,Parris Campbell,WR,217.8
201,Jameis Winston,QB,218.4
237,Tennessee Titans,DS,221.7
254,O.J. Howard,TE,222.0
205,Tre'Quan Smith,WR,222.0
221,Seattle Seahawks,DS,222.3
206,Chicago Bears,DS,222.8
222,Devontae Booker,RB,223.5
255,Joshua Kelley,RB,224.0
225,Jared Goff,QB,225.8
239,Breshad Perriman,WR,226.0
257,Elijah Mitchell,RB,227.0
308,Gerrid Doaks,RB,228.0
258,La'Mical Perine,RB,228.5
208,Matt Gay,K1,229.0
226,Arizona Cardinals,DS,229.3
211,Darrel Williams,RB,229.4
310,Chad Beebe,WR,230.0
241,Benny Snell Jr.,RB,230.3
227,Sony Michel,RB,230.5
242,Terrace Marshall Jr.,WR,231.0
311,Anthony Schwartz,WR,232.0
229,Sammy Watkins,WR,232.3
263,Nick Folk,K2,232.5
209,Matt Prater,K1,233.4
264,Josh Palmer,WR,233.5
230,Jeff Wilson Jr.,RB,233.8
313,Eno Benjamin,RB,235.0
232,Mark Ingram II,RB,235.3
244,Hayden Hurst,TE,235.7
212,Mason Crosby,K1,235.8
314,Tyler Johnson,WR,236.0
228,Graham Gano,K1,236.3
215,Minnesota Vikings,DS,236.8
316,Corey Clement,RB,239.0
246,Dalton Schultz,TE,240.0
247,Boston Scott,RB,240.7
248,Jimmy Graham,TE,241.0
269,Ty Johnson,RB,241.0
320,Justice Hill,RB,241.0
321,Royce Freeman,RB,243.0
322,Greg Ward,WR,244.0
265,Cairo Santos,K2,244.0
271,Kyle Rudolph,TE,244.5
324,Las Vegas Raiders,DS,245.0
272,Nico Collins,WR,245.5
275,Anthony McFarland Jr.,RB,248.0
329,Dazz Newsome,WR,248.0
251,Dallas Cowboys,DS,248.3
219,Robbie Gould,K1,248.4
252,,RB,248.7
335,Duke,RB,250.0
334,,K3,250.0
238,Los Angeles Chargers,DS,251.5
279,Brian Hill,RB,251.5
283,Tyrell Williams,WR,254.0
240,New York Giants,DS,254.8
253,Justin Jackson,RB,255.7
336,,WR,256.0
284,DeeJay Dallas,RB,256.0
285,Ke'Shawn Vaughn,RB,257.0
243,Jakobi Meyers,WR,257.3
286,Scotty Miller,WR,257.5
288,Rhamondre Stevenson,RB,258.5
337,Olamide Zaccheaus,WR,259.0
339,Trace McSorley,QB,260.0
292,Keke Coutee,WR,260.5
294,Malcolm Brown,RB,262.0
260,,RB,262.7
342,Marquez Callaway,WR,264.0
343,Kyle Juszczyk,RB,265.0
266,Darius Slayton,WR,265.0
300,Dez Fitzpatrick,WR,266.5
249,Carolina Panthers,DS,268.3
268,Jerick McKinnon,RB,268.3
303,Chris Herndon IV,TE,269.0
270,Demarcus Robinson,WR,270.0
304,Evan McPherson,K2,270.5
346,Kylen Granson,TE,273.0
262,Cody Parkey,K2,274.0
276,Wayne Gallman,RB,274.7
298,Chris Boswell,K2,275.5
305,Bryan Edwards,WR,275.5
295,Ka'imi Fairbairn,K2,275.5
256,Joey Slye,K1,275.7
277,Samaje Perine,RB,275.7
278,Drew Lock,QB,275.7
259,Josh Lambo,K1,276.0
353,Jalen Richard,RB,276.0
280,Dawson Knox,TE,276.7
355,Quintez Cephus,WR,277.0
309,Larry Rountree III,RB,278.0
261,Mac Jones,QB,278.8
312,Anthony Miller,WR,280.0
287,Jordan Love,QB,280.7
357,Qadree Ollison,RB,281.0
290,DeSean Jackson,WR,282.0
289,Jimmy Garoppolo,QB,282.0
291,Marquez Valdes-Scantling,WR,282.3
315,Byron Pringle,WR,282.5
360,Cincinnati Bengals,DS,283.0
317,Donovan Peoples-Jones,WR,283.0
318,Mo Alie-Cox,TE,283.5
361,Mike Boone,RB,284.0
267,Dustin Hopkins,K2,285.0
273,Michael Badgley,K2,285.3
323,Josh Reynolds,WR,285.5
326,Travis Fulgham,WR,286.0
325,Tyron Johnson,WR,286.0
327,Tim Patrick,WR,287.0
330,Matt Breida,RB,287.5
333,Jack Doyle,TE,288.0
282,Amari Rodgers,WR,288.3
306,Teddy Bridgewater,QB,292.7
363,Andy Dalton,QB,293.0
307,Pat Freiermuth,TE,293.7
340,Cameron Brate,TE,294.0
293,Philadelphia Eagles,DS,294.7
319,David Njoku,TE,298.0
347,D'Wayne Eskridge,WR,300.0
350,Tyrod Taylor,QB,300.5
331,Dan Arnold,TE,300.7
354,Chris Evans,RB,301.5
356,Mitchell Trubisky,QB,302.0
344,Randall Cobb,WR,302.0
328,Jake Elliott,K3,304.0
351,Kerryon Johnson,RB,304.5
358,David Moore,WR,304.5
348,Rashard Higgins,WR,305.5
349,C.J. Uzomah,TE,306.5
369,Jacob Hollister,TE,308.0
370,Tylan Wallace,WR,309.0
371,Jacob Harris,TE,309.0
352,Carlos Hyde,RB,309.7
372,Jalen Hurd,WR,310.0
365,Adam Humphries,WR,311.0
341,Hunter Renfrow,WR,311.0
373,Khalil Herbert,RB,312.0
374,Jake Funk,RB,312.0
375,Rex Burkhead,RB,313.0
332,Jacksonville Jaguars,DS,314.7
377,Tyler Conklin,TE,315.0
378,Will Dissly,TE,316.0
380,Drew Sample,TE,318.0
338,New York Jets,DS,319.3
362,Atlanta Falcons,DS,320.0
381,Kalen Ballage,RB,321.0
359,Kendrick Bourne,WR,324.0
368,,RB,325.0
345,Randy Bullock,K3,326.5
367,Van Jefferson,WR,327.5
383,Deonte Harris,WR,327.5
384,,RB,333.0
376,Dyami Brown,WR,334.0
364,Houston Texans,DS,336.0
379,Cornell Powell,WR,336.5
385,Devin Funchess,WR,339.0
386,Ameer Abdullah,RB,342.0
366,James Washington,WR,342.0
382,Tutu Atwell,WR,346.0
387,Jonathan Williams,RB,350.0
388,Zach Pascal,WR,351.0
389,Stephen Anderson,TE,359.0
390,Marcus Mariota,QB,363.0
391,Marquise Goodwin,WR,365.0
392,KJ Hamler,WR,367.0
393,Lynn Bowden Jr.,WR,374.0
394,Detroit Lions,DS,376.0
