,PLAYER,POS,AVG
0,Christian McCaffrey,RB,1.0
1,Dalvin Cook,RB,2.3
2,Derrick Henry,RB,3.0
3,Alvin Kamara,RB,3.8
4,Saquon Barkley,RB,5.8
5,Jonathan Taylor,RB,8.0
6,Nick Chubb,RB,8.8
7,Ezekiel Elliott,RB,9.0
8,Travis Kelce,TE,9.0
9,Tyreek Hill,WR,10.5
10,Aaron Jones,RB,10.8
11,Davante Adams,WR,10.8
12,Patrick Mahomes II,QB,13.3
13,Stefon Diggs,WR,14.5
14,Austin Ekeler,RB,15.5
15,Najee Harris,RB,18.0
16,Joe Mixon,RB,20.0
17,DeAndre Hopkins,WR,20.0
18,D.K. Metcalf,WR,21.5
19,Antonio Gibson,RB,21.8
20,Josh Allen,QB,22.8
21,Justin Jefferson,WR,23.0
22,A.J. Brown,WR,23.8
23,Calvin Ridley,WR,23.8
24,George Kittle,TE,25.3
25,J.K. Dobbins,RB,26.0
26,Clyde Edwards-Helaire,RB,27.0
27,D'Andre Swift,RB,28.3
28,Darren Waller,TE,28.8
29,Josh Jacobs,RB,31.3
31,Keenan Allen,WR,33.0
30,Kyler Murray,QB,33.0
32,David Montgomery,RB,33.5
33,Miles Sanders,RB,33.8
34,Chris Carson,RB,34.5
35,Michael Thomas,WR,36.8
36,Terry McLaurin,WR,38.8
37,Lamar Jackson,QB,40.0
38,Allen Robinson II,WR,40.8
39,Dak Prescott,QB,41.5
40,Julio Jones,WR,43.3
41,Justin Herbert,QB,43.8
42,Mike Evans,WR,44.0
43,CeeDee Lamb,WR,44.8
44,Russell Wilson,QB,48.0
45,Adam Thielen,WR,48.3
46,Amari Cooper,WR,48.5
47,Chris Godwin,WR,50.8
48,Kyle Pitts,TE,51.5
49,Kareem Hunt,RB,51.8
50,Robert Woods,WR,52.5
51,Aaron Rodgers,QB,53.3
52,Myles Gaskin,RB,55.0
53,Mark Andrews,TE,55.8
54,James Robinson,RB,57.3
55,Ja'Marr Chase,WR,57.3
56,Cooper Kupp,WR,59.3
57,Tyler Lockett,WR,59.8
58,D.J. Moore,WR,60.0
59,Travis Etienne,RB,60.8
60,Kenny Golladay,WR,60.8
61,Diontae Johnson,WR,63.3
62,T.J. Hockenson,TE,64.3
63,Javonte Williams,RB,65.3
64,Mike Davis,RB,66.8
65,Melvin Gordon III,RB,67.0
66,Brandon Aiyuk,WR,68.8
67,Tee Higgins,WR,69.0
68,Chase Edmonds,RB,69.5
69,Raheem Mostert,RB,69.8
70,Tom Brady,QB,71.0
71,Chase Claypool,WR,71.0
73,Leonard Fournette,RB,77.0
72,Odell Beckham Jr.,WR,77.0
74,Ryan Tannehill,QB,79.0
75,JuJu Smith-Schuster,WR,79.0
76,DeVonta Smith,WR,80.0
77,D.J. Chark Jr.,WR,80.0
78,Ronald Jones II,RB,82.0
79,Courtland Sutton,WR,82.5
80,Jalen Hurts,QB,83.0
81,Joe Burrow,QB,83.5
82,Damien Harris,RB,85.5
83,Michael Carter,RB,86.0
84,Matthew Stafford,QB,86.5
85,James Conner,RB,88.0
86,Tyler Boyd,WR,88.3
87,David Johnson,RB,90.3
88,Deebo Samuel,WR,95.8
89,Robby Anderson,WR,96.3
90,Dallas Goedert,TE,97.0
91,Kenyan Drake,RB,97.3
92,Trey Sermon,RB,99.8
135,Los Angeles Rams,DS,100.0
93,Jarvis Landry,WR,100.0
94,Jerry Jeudy,WR,100.5
95,Will Fuller V,WR,100.8
96,Brandin Cooks,WR,102.0
97,Marquise Brown,WR,105.5
98,Trevor Lawrence,QB,106.3
99,AJ Dillon,RB,107.0
100,Zack Moss,RB,110.0
101,Jaylen Waddle,WR,110.8
102,Noah Fant,TE,112.0
103,Curtis Samuel,WR,112.8
104,Darrell Henderson,RB,113.3
105,Logan Thomas,TE,115.0
106,Laviska Shenault Jr.,WR,117.0
107,Michael Pittman Jr.,WR,118.0
108,Matt Ryan,QB,118.0
142,Pittsburgh Steelers,DS,118.0
109,Antonio Brown,WR,118.5
110,Hunter Henry,TE,119.5
111,Mike Gesicki,TE,120.8
112,Devin Singletary,RB,121.5
144,Tampa Bay Buccaneers,DS,123.3
113,Gus Edwards,RB,123.5
114,Michael Gallup,WR,124.5
146,Baltimore Ravens,DS,124.7
115,Rob Gronkowski,TE,125.3
116,Robert Tonyan,TE,125.3
117,DeVante Parker,WR,126.0
118,T.Y. Hilton,WR,126.5
119,Justin Fields,QB,130.0
120,Baker Mayfield,QB,130.3
121,Jamaal Williams,RB,131.0
122,Latavius Murray,RB,131.8
125,Evan Engram,TE,132.0
123,Carson Wentz,QB,132.0
124,Tony Pollard,RB,132.0
126,Marvin Jones Jr.,WR,132.0
127,Trey Lance,QB,134.5
128,Deshaun Watson,QB,134.8
129,Mike Williams,WR,135.0
154,Washington Football Team,DS,136.3
130,Kirk Cousins,QB,136.3
131,Nyheim Hines,RB,136.5
132,Jonnu Smith,TE,137.0
133,Tyler Higbee,TE,138.3
134,Corey Davis,WR,138.5
136,J.D. McKissic,RB,140.0
229,Anthony McFarland Jr.,RB,141.0
137,Irv Smith Jr.,TE,141.0
138,Henry Ruggs III,WR,142.8
156,Buffalo Bills,DS,143.0
139,Tua Tagovailoa,QB,145.3
157,San Francisco 49ers,DS,145.3
140,Alexander Mattison,RB,145.8
159,Zach Wilson,QB,146.3
161,Damien Williams,RB,147.7
160,Indianapolis Colts,DS,147.7
236,Tennessee Titans,DS,149.0
165,Taysom Hill,QB,150.3
141,Cole Beasley,WR,150.5
143,Mecole Hardman,WR,154.8
167,Harrison Butker,K1,156.3
145,Ben Roethlisberger,QB,157.8
148,Darnell Mooney,WR,158.5
147,Rashod Bateman,WR,158.5
149,Elijah Moore,WR,161.8
150,Ryan Fitzpatrick,QB,162.3
152,Rashaad Penny,RB,163.8
151,Jared Cook,TE,163.8
153,Derek Carr,QB,165.0
171,Justin Tucker,K2,165.3
240,Benny Snell Jr.,RB,166.0
173,Rondale Moore,WR,166.7
175,Christian Kirk,WR,167.7
241,Pat Freiermuth,TE,168.0
155,Chuba Hubbard,RB,168.0
243,O.J. Howard,TE,170.0
176,Terrace Marshall Jr.,WR,170.3
205,Kadarius Toney,WR,171.5
177,Jamison Crowder,WR,171.7
