"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","2 out of 5 stars","0.0"
"2",1,"Dalvin Cook",MIN,"RB2","7","3 out of 5 stars","0.0"
"3",1,"Alvin Kamara",NO,"RB3","6","2 out of 5 stars","0.0"
"4",2,"Derrick Henry",TEN,"RB4","13","3 out of 5 stars","0.0"
"5",2,"Ezekiel Elliott",DAL,"RB5","7","2 out of 5 stars","-2.0"
"6",2,"Saquon Barkley",NYG,"RB6","10","2 out of 5 stars","+1.0"
"7",2,"Davante Adams",GB,"WR1","13","1 out of 5 stars","-5.0"
"8",2,"Tyreek Hill",KC,"WR2","12","3 out of 5 stars","-2.0"
"9",2,"Stefon Diggs",BUF,"WR3","7","3 out of 5 stars","-5.0"
"10",2,"Austin Ekeler",LAC,"RB7","7","4 out of 5 stars","-1.0"
"11",2,"DeAndre Hopkins",ARI,"WR4","12","2 out of 5 stars","-5.0"
"12",2,"Jonathan Taylor",IND,"RB8","14","4 out of 5 stars","+6.0"
"13",2,"Aaron Jones",GB,"RB9","13","0 out of 5 stars","0.0"
"14",3,"Calvin Ridley",ATL,"WR5","6","4 out of 5 stars","-5.0"
"15",3,"Travis Kelce",KC,"TE1","12","3 out of 5 stars","+7.0"
"16",3,"D.K. Metcalf",SEA,"WR6","9","1 out of 5 stars","-2.0"
"17",3,"Nick Chubb",CLE,"RB10","13","4 out of 5 stars","+8.0"
"18",3,"Justin Jefferson",MIN,"WR7","7","3 out of 5 stars","-4.0"
"19",3,"Darren Waller",LV,"TE2","8","4 out of 5 stars","-5.0"
"20",3,"Keenan Allen",LAC,"WR8","7","3 out of 5 stars","-8.0"
"21",3,"A.J. Brown",TEN,"WR9","13","3 out of 5 stars","-2.0"
"22",3,"Joe Mixon",CIN,"RB11","10","3 out of 5 stars","+2.0"
"23",3,"Antonio Gibson",WAS,"RB12","9","3 out of 5 stars","+6.0"
"24",4,"Patrick Mahomes II",KC,"QB1","12","4 out of 5 stars","+3.0"
"25",4,"Allen Robinson II",CHI,"WR10","10","3 out of 5 stars","-7.0"
"26",4,"George Kittle",SF,"TE3","6","4 out of 5 stars","0.0"
"27",4,"Terry McLaurin",WAS,"WR11","9","3 out of 5 stars","-3.0"
"28",4,"Clyde Edwards-Helaire",KC,"RB13","12","4 out of 5 stars","+3.0"
"29",4,"D'Andre Swift",DET,"RB14","9","0 out of 5 stars","+2.0"
"30",4,"Najee Harris",PIT,"RB15","7","5 out of 5 stars","+15.0"
"31",4,"Amari Cooper",DAL,"WR12","7","1 out of 5 stars","-10.0"
"32",4,"Robert Woods",LAR,"WR13","11","5 out of 5 stars","-10.0"
"33",4,"Chris Godwin",TB,"WR14","9","2 out of 5 stars","-11.0"
"34",4,"CeeDee Lamb",DAL,"WR15","7","1 out of 5 stars","-3.0"
"35",5,"Julio Jones",TEN,"WR16","13","3 out of 5 stars","-4.0"
"36",5,"Mike Evans",TB,"WR17","9","2 out of 5 stars","-2.0"
"37",5,"Chris Carson",SEA,"RB16","9","1 out of 5 stars","+2.0"
"38",5,"J.K. Dobbins",BAL,"RB17","8","4 out of 5 stars","+9.0"
"39",5,"D.J. Moore",CAR,"WR18","13","5 out of 5 stars","-17.0"
"40",5,"David Montgomery",CHI,"RB18","10","3 out of 5 stars","+9.0"
"41",5,"Miles Sanders",PHI,"RB19","14","3 out of 5 stars","+7.0"
"42",5,"Diontae Johnson",PIT,"WR19","7","2 out of 5 stars","-10.0"
"43",5,"Cooper Kupp",LAR,"WR20","11","5 out of 5 stars","-11.0"
"44",5,"Josh Allen",BUF,"QB2","7","1 out of 5 stars","+11.0"
"45",5,"Tyler Lockett",SEA,"WR21","9","1 out of 5 stars","-10.0"
