"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","2 out of 5 stars","0.0"
"2",1,"Dalvin Cook",MIN,"RB2","7","3 out of 5 stars","0.0"
"3",1,"Derrick Henry",TEN,"RB3","13","3 out of 5 stars","0.0"
"4",1,"Alvin Kamara",NO,"RB4","6","2 out of 5 stars","0.0"
"5",1,"Ezekiel Elliott",DAL,"RB5","7","2 out of 5 stars","-2.0"
"6",1,"Saquon Barkley",NYG,"RB6","10","2 out of 5 stars","+1.0"
"7",1,"Jonathan Taylor",IND,"RB7","14","4 out of 5 stars","+1.0"
"8",2,"Davante Adams",GB,"WR1","13","1 out of 5 stars","-4.0"
"9",2,"Tyreek Hill",KC,"WR2","12","3 out of 5 stars","0.0"
"10",2,"Nick Chubb",CLE,"RB8","13","4 out of 5 stars","+2.0"
"11",2,"Aaron Jones",GB,"RB9","13","0 out of 5 stars","0.0"
"12",2,"Stefon Diggs",BUF,"WR3","7","3 out of 5 stars","-1.0"
"13",2,"Travis Kelce",KC,"TE1","12","3 out of 5 stars","+3.0"
"14",2,"Austin Ekeler",LAC,"RB10","7","4 out of 5 stars","0.0"
"15",2,"Calvin Ridley",ATL,"WR4","6","4 out of 5 stars","-6.0"
"16",2,"DeAndre Hopkins",ARI,"WR5","12","2 out of 5 stars","0.0"
"17",2,"Antonio Gibson",WAS,"RB11","9","3 out of 5 stars","+2.0"
"18",2,"Joe Mixon",CIN,"RB12","10","3 out of 5 stars","-1.0"
"19",2,"D.K. Metcalf",SEA,"WR6","9","1 out of 5 stars","-1.0"
"20",3,"Justin Jefferson",MIN,"WR7","7","3 out of 5 stars","-2.0"
"21",3,"A.J. Brown",TEN,"WR8","13","3 out of 5 stars","-2.0"
"22",3,"Najee Harris",PIT,"RB13","7","5 out of 5 stars","+4.0"
"23",3,"Clyde Edwards-Helaire",KC,"RB14","12","4 out of 5 stars","-2.0"
"24",3,"Keenan Allen",LAC,"WR9","7","3 out of 5 stars","-5.0"
"25",3,"Allen Robinson II",CHI,"WR10","10","3 out of 5 stars","-11.0"
"26",3,"Darren Waller",LV,"TE2","8","4 out of 5 stars","-1.0"
"27",3,"Terry McLaurin",WAS,"WR11","9","3 out of 5 stars","-6.0"
"28",3,"Patrick Mahomes II",KC,"QB1","12","4 out of 5 stars","+11.0"
"29",3,"J.K. Dobbins",BAL,"RB15","8","4 out of 5 stars","+5.0"
"30",3,"D'Andre Swift",DET,"RB16","9","0 out of 5 stars","-1.0"
"31",3,"George Kittle",SF,"TE3","6","4 out of 5 stars","+5.0"
"32",3,"Chris Carson",SEA,"RB17","9","1 out of 5 stars","-3.0"
"33",3,"David Montgomery",CHI,"RB18","10","3 out of 5 stars","-1.0"
"34",3,"Amari Cooper",DAL,"WR12","7","1 out of 5 stars","-9.0"
"35",3,"Mike Evans",TB,"WR13","9","2 out of 5 stars","-2.0"
"36",3,"CeeDee Lamb",DAL,"WR14","7","1 out of 5 stars","-4.0"
"37",3,"Miles Sanders",PHI,"RB19","14","3 out of 5 stars","+7.0"
"38",4,"Chris Godwin",TB,"WR15","9","2 out of 5 stars","-4.0"
"39",4,"Julio Jones",TEN,"WR16","13","3 out of 5 stars","0.0"
"40",4,"Robert Woods",LAR,"WR17","11","5 out of 5 stars","-7.0"
"41",4,"Josh Jacobs",LV,"RB20","8","2 out of 5 stars","+13.0"
"42",4,"D.J. Moore",CAR,"WR18","13","5 out of 5 stars","-15.0"
"43",4,"Josh Allen",BUF,"QB2","7","1 out of 5 stars","+11.0"
"44",4,"Darrell Henderson",LAR,"RB21","11","4 out of 5 stars","-27.0"
"45",4,"Myles Gaskin",MIA,"RB22","14","4 out of 5 stars","+1.0"
