,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingAtt,PassingCmp,PassingYds,PassingTD,Int,FieldGoalsMade,FieldGoalsAttempted,ExtraPointsMade,TotalSacks,TotalInt,FumblesRecovered,FumblesForced,DefensiveTDs,SafetysForced,PointsAllowed,FantasyPoints
0,Josh Allen,BUF,QB,0.0,0.0,0.0,5.1,110.8,519.9,7.6,605.5,400.3,4577.1,33.7,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.7
1,Patrick Mahomes II,KC,QB,0.0,0.0,0.0,2.5,55.2,266.9,2.9,631.9,420.3,5047.3,38.5,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.5
2,Kyler Murray,ARI,QB,0.0,0.0,0.0,3.7,125.7,698.1,7.7,588.9,390.0,4201.1,26.7,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.4
3,Lamar Jackson,BAL,QB,0.0,0.0,0.0,4.0,152.9,920.8,6.7,462.2,296.2,3385.2,28.6,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.6
4,Dak Prescott,DAL,QB,0.0,0.0,0.0,4.2,63.5,296.7,4.0,622.1,415.6,4842.7,31.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.4
5,Aaron Rodgers,GB,QB,0.0,0.0,0.0,3.1,41.0,174.0,1.9,571.6,385.1,4460.6,36.8,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.9
6,Justin Herbert,LAC,QB,0.0,0.0,0.0,2.6,61.5,273.4,4.4,617.5,402.5,4620.1,31.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.3
7,Russell Wilson,SEA,QB,0.0,0.0,0.0,3.5,82.8,446.8,2.1,570.5,380.3,4249.5,34.4,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.9
8,Tom Brady,TB,QB,0.0,0.0,0.0,2.2,24.4,31.4,2.1,621.5,404.8,4705.7,36.8,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.7
9,Jalen Hurts,PHI,QB,0.0,0.0,0.0,4.9,137.7,709.0,5.9,542.5,331.8,3749.3,22.6,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.2
10,Ryan Tannehill,TEN,QB,0.0,0.0,0.0,2.9,51.6,228.0,3.4,531.1,351.3,4150.8,30.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8
0,Christian McCaffrey,CAR,RB,96.9,787.8,4.3,2.5,297.7,1304.5,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.2
11,Joe Burrow,CIN,QB,0.0,0.0,0.0,4.2,54.3,228.2,3.0,611.6,400.4,4320.0,26.4,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.1
12,Matthew Stafford,LAR,QB,0.0,0.0,0.0,3.2,33.3,126.3,0.7,613.7,406.4,4571.6,28.6,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.8
1,Dalvin Cook,MIN,RB,54.9,473.3,2.0,2.9,316.6,1486.7,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.6
13,Trevor Lawrence,JAC,QB,0.0,0.0,0.0,5.2,66.8,342.3,2.3,592.1,378.9,4150.5,24.7,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.8
14,Kirk Cousins,MIN,QB,0.0,0.0,0.0,4.1,35.3,114.3,1.1,542.9,365.5,4287.9,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.2
15,Matt Ryan,ATL,QB,0.0,0.0,0.0,4.3,33.2,119.3,1.4,613.8,401.5,4518.9,27.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.8
2,Derrick Henry,TEN,RB,24.8,184.7,1.1,2.7,339.7,1664.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.4
16,Derek Carr,LV,QB,0.0,0.0,0.0,5.3,31.5,110.4,1.8,565.1,374.5,4313.7,26.7,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.7
17,Tua Tagovailoa,MIA,QB,0.0,0.0,0.0,1.7,54.3,205.7,2.7,574.6,374.9,3957.3,25.9,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.2
18,Baker Mayfield,CLE,QB,0.0,0.0,0.0,3.3,44.1,168.1,1.8,537.2,343.5,3949.9,27.9,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.8
19,Carson Wentz,IND,QB,0.0,0.0,0.0,5.8,62.7,274.0,3.2,551.9,346.9,3817.2,26.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.9
20,Ben Roethlisberger,PIT,QB,0.0,0.0,0.0,2.3,20.8,44.6,0.5,623.3,404.7,4217.3,29.8,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.8
21,Daniel Jones,NYG,QB,0.0,0.0,0.0,8.5,70.3,403.7,2.6,546.9,342.5,3754.5,22.9,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.8
22,Sam Darnold,CAR,QB,0.0,0.0,0.0,3.9,50.3,219.8,3.3,555.4,350.2,3923.0,21.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.3
23,Zach Wilson,NYJ,QB,0.0,0.0,0.0,5.5,64.3,306.2,2.3,554.2,347.3,3917.7,21.5,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.2
24,Ryan Fitzpatrick,WAS,QB,0.0,0.0,0.0,2.3,47.3,230.7,3.0,541.7,358.4,3841.5,22.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.5
3,Alvin Kamara,NO,RB,79.4,680.7,3.4,1.9,206.9,945.7,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.4
